 JULDAY,   TIME,    CD1,    CD2,    CD3,    CD4,    CD5,    CD6,    CD7,    CD8,    CD9,   CD10
 74.,    840.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.23
 74.,    900.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
 74.,    960.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
 74.,   1020.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.23
 74.,   1080.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.22
 74.,   1140.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.22
 74.,   1200.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.22
 74.,   1260.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.22
 74.,   1320.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
 74.,   1380.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
105.,      0.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
105.,     60.00,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.26
105.,    120.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
105.,    180.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
105.,    240.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
105.,    300.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
105.,    360.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
105.,    420.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
105.,    480.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
105.,    540.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
105.,    600.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
105.,    660.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
105.,    720.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
105.,    780.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.24
105.,    840.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.24
105.,    900.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.24
105.,    960.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.24
105.,   1020.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
105.,   1080.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
105.,   1140.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
105.,   1200.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
