  JULDAY,    TIME,   TALOC,   TAREF,   RHLOC,      RH,    VLOC,    VREF,SNOWMELT, POOLDEP,  PCTWET,     ZEN,    SOLR,   TSKYC,     DEW,   FROST,SNOWFALL,SNOWDEP"S
135., 600.00, 14.13, 15.06, 75.54, 71.15,  0.403,  1.837,  0.00,  0.00, 92.10, 35.27, 514.46,  10.82,0.,0.,   0.00,   0.00,  0.218
135., 660.00, 14.92, 16.19, 64.75, 59.68,  0.465,  2.117,  0.00,  0.00, 92.11, 27.73, 564.25,  11.90,0.,0.,   0.00,   0.00,  0.218
135., 720.00, 15.36, 16.94, 66.02, 59.68,  0.588,  2.677,  0.00,  0.00, 92.11, 24.68, 581.74,  12.65,0.,0.,   0.00,   0.00,  0.218
135., 780.00, 15.80, 17.20, 66.95, 61.25,  0.588,  2.677,  0.00,  0.00, 92.11, 27.73, 563.93,  12.92,0.,0.,   0.00,   0.00,  0.218
135., 840.00, 15.63, 16.94, 68.26, 62.81,  0.564,  2.568,  0.00,  0.00, 92.10, 35.27, 516.02,  12.67,0.,0.,   0.00,   0.00,  0.218
135., 900.00, 15.03, 16.19, 69.38, 64.38,  0.540,  2.460,  0.00,  0.00, 92.10, 45.00, 437.54,  11.93,0.,0.,   0.00,   0.00,  0.218
135., 960.00, 14.06, 15.06, 70.36, 65.94,  0.516,  2.351,  0.00,  0.00, 92.10, 55.63, 335.00,  10.80,0.,0.,   0.00,   0.00,  0.218
135.,1020.00, 12.85, 13.69, 71.32, 67.50,  0.492,  2.242,  0.00,  0.00, 92.10, 66.51, 222.56,   9.43,0.,0.,   0.00,   0.00,  0.218
135.,1080.00, 11.56, 12.27, 72.38, 69.07,  0.468,  2.133,  0.00,  0.00, 92.10, 77.26, 108.91,   8.01,0.,0.,   0.00,   0.00,  0.218
135.,1140.00, 10.35, 10.99, 73.70, 70.63,  0.444,  2.025,  0.00,  0.00, 92.10, 87.57,  13.21,   6.73,0.,0.,   0.00,   0.00,  0.218
135.,1200.00,  9.79, 10.48, 75.62, 72.19,  0.421,  1.916,  0.00,  0.00, 92.09, 90.00,   0.02,   6.23,0.,0.,   0.00,   0.00,  0.218
135.,1260.00,  9.55, 10.18, 76.97, 73.76,  0.397,  1.807,  0.00,  0.00, 92.09, 90.00,   0.00,   5.94,0.,0.,   0.00,   0.00,  0.218
135.,1320.00,  9.32,  9.97, 78.67, 75.32,  0.373,  1.698,  0.00,  0.00, 92.09, 90.00,   0.00,   5.73,0.,0.,   0.00,   0.00,  0.218
135.,1380.00,  9.24,  9.81, 79.87, 76.89,  0.349,  1.589,  0.00,  0.00, 92.09, 90.00,   0.00,   5.58,0.,0.,   0.00,   0.00,  0.218
166.,   0.00, 13.33, 12.68, 76.19, 79.50,  0.290,  1.321,  0.00,  0.00, 92.11, 90.00,   0.00,   8.41,0.,0.,   0.00,   0.00,  0.218
166.,  60.00, 12.66, 12.60, 83.59, 83.89,  0.218,  0.991,  0.00,  0.00, 92.10, 90.00,   0.00,   8.35,0.,0.,   0.00,   0.00,  0.218
166., 120.00, 12.64, 12.54, 87.74, 88.28,  0.145,  0.662,  0.00,  0.00, 92.09, 90.00,   0.00,   8.31,0.,0.,   0.00,   0.00,  0.218
166., 180.00, 12.81, 12.50, 90.84, 92.67,  0.056,  0.253,  0.00,  0.00, 92.07, 90.00,   0.00,   8.29,0.,0.,   0.00,   0.00,  0.218
166., 240.00, 13.01, 12.47, 94.69, 98.11,  0.043,  0.195,  0.00,  0.00, 92.03, 90.00,   0.53,   8.28,0.,0.,   0.00,   0.00,  0.218
166., 300.00, 13.07, 12.54, 94.75, 98.11,  0.096,  0.439,  0.00,  0.00, 92.02, 84.33,  42.65,   8.35,0.,0.,   0.00,   0.00,  0.218
166., 360.00, 13.43, 13.15, 92.24, 93.92,  0.150,  0.682,  0.00,  0.00, 92.05, 74.24, 147.25,   8.95,0.,0.,   0.00,   0.00,  0.218
166., 420.00, 14.15, 14.16, 88.45, 88.42,  0.203,  0.926,  0.00,  0.00, 92.08, 63.62, 265.33,   9.94,0.,0.,   0.00,   0.00,  0.218
166., 480.00, 15.11, 15.44, 84.71, 82.91,  0.257,  1.170,  0.00,  0.00, 92.09, 52.75, 380.69,  11.21,0.,0.,   0.00,   0.00,  0.218
166., 540.00, 16.21, 16.83, 80.55, 77.41,  0.310,  1.413,  0.00,  0.00, 92.10, 41.97, 487.29,  12.58,0.,0.,   0.00,   0.00,  0.218
166., 600.00, 17.22, 18.15, 76.24, 71.90,  0.364,  1.657,  0.00,  0.00, 92.10, 31.83, 564.14,  13.88,0.,0.,   0.00,   0.00,  0.218
166., 660.00, 17.69, 19.24, 67.09, 60.89,  0.417,  1.900,  0.00,  0.00, 92.11, 23.62, 617.50,  14.91,0.,0.,   0.00,   0.00,  0.218
166., 720.00, 18.47, 19.95, 66.78, 60.89,  0.524,  2.388,  0.00,  0.00, 92.11, 20.12, 633.51,  15.63,0.,0.,   0.00,   0.00,  0.218
166., 780.00, 18.71, 20.20, 68.50, 62.45,  0.524,  2.388,  0.00,  0.00, 92.10, 23.62, 617.20,  15.89,0.,0.,   0.00,   0.00,  0.218
166., 840.00, 18.55, 19.95, 69.84, 64.00,  0.503,  2.291,  0.00,  0.00, 92.10, 31.83, 565.54,  15.65,0.,0.,   0.00,   0.00,  0.218
166., 900.00, 18.00, 19.24, 70.82, 65.55,  0.482,  2.194,  0.00,  0.00, 92.10, 41.97, 489.11,  14.94,0.,0.,   0.00,   0.00,  0.218
166., 960.00, 17.09, 18.15, 71.75, 67.10,  0.460,  2.097,  0.00,  0.00, 92.10, 52.75, 382.58,  13.86,0.,0.,   0.00,   0.00,  0.218
166.,1020.00, 15.93, 16.83, 72.69, 68.65,  0.439,  2.000,  0.00,  0.00, 92.10, 63.62, 266.98,  12.53,0.,0.,   0.00,   0.00,  0.218
166.,1080.00, 14.65, 15.44, 73.86, 70.20,  0.418,  1.903,  0.00,  0.00, 92.10, 74.24, 148.35,  11.14,0.,0.,   0.00,   0.00,  0.218
166.,1140.00, 13.52, 14.16, 74.79, 71.75,  0.396,  1.806,  0.00,  0.00, 92.09, 84.33,  43.02,   9.86,0.,0.,   0.00,   0.00,  0.218
166.,1200.00, 12.72, 13.49, 77.09, 73.30,  0.375,  1.709,  0.00,  0.00, 92.09, 90.00,   0.53,   9.20,0.,0.,   0.00,   0.00,  0.218
166.,1260.00, 12.56, 13.18, 77.98, 74.85,  0.354,  1.612,  0.00,  0.00, 92.09, 90.00,   0.00,   8.89,0.,0.,   0.00,   0.00,  0.218
166.,1320.00, 12.20, 12.96, 80.27, 76.40,  0.332,  1.515,  0.00,  0.00, 92.08, 90.00,   0.00,   8.67,0.,0.,   0.00,   0.00,  0.218
166.,1380.00, 12.26, 12.80, 80.77, 77.95,  0.311,  1.418,  0.00,  0.00, 92.08, 90.00,   0.00,   8.52,0.,0.,   0.00,   0.00,  0.218
196.,   0.00, 15.71, 15.00, 74.93, 78.45,  0.281,  1.281,  0.00,  0.00, 92.11, 90.00,   0.00,  10.67,0.,0.,   0.00,   0.00,  0.218
196.,  60.00, 14.90, 14.91, 82.81, 82.73,  0.213,  0.969,  0.00,  0.00, 92.10, 90.00,   0.00,  10.61,0.,0.,   0.00,   0.00,  0.218
196., 120.00, 14.86, 14.85, 86.93, 87.00,  0.144,  0.657,  0.00,  0.00, 92.09, 90.00,   0.00,  10.57,0.,0.,   0.00,   0.00,  0.218
196., 180.00, 15.03, 14.81, 89.96, 91.28,  0.054,  0.246,  0.00,  0.00, 92.08, 90.00,   0.00,  10.55,0.,0.,   0.00,   0.00,  0.218
196., 240.00, 15.28, 14.78, 93.86, 96.92,  0.037,  0.170,  0.00,  0.00, 92.04, 90.00,   0.16,  10.54,0.,0.,   0.00,   0.00,  0.218
196., 300.00, 15.33, 14.82, 93.82, 96.92,  0.090,  0.408,  0.00,  0.00, 92.04, 85.50,  35.41,  10.59,0.,0.,   0.00,   0.00,  0.218
196., 360.00, 15.65, 15.42, 91.75, 93.15,  0.142,  0.646,  0.00,  0.00, 92.06, 75.33, 145.27,  11.17,0.,0.,   0.00,   0.00,  0.218
196., 420.00, 16.39, 16.44, 87.90, 87.62,  0.194,  0.885,  0.00,  0.00, 92.08, 64.65, 272.72,  12.18,0.,0.,   0.00,   0.00,  0.218
196., 480.00, 17.35, 17.75, 84.22, 82.10,  0.247,  1.123,  0.00,  0.00, 92.09, 53.77, 397.77,  13.48,0.,0.,   0.00,   0.00,  0.218
